departamento,fips,z
Amazonas,CO01,1
Antioquia,CO02,2
Arauca,CO03,3
Atlantico,CO04,4
Bolivar,CO35,5
Boyaca,CO36,6
Caldas,CO37,7
Caqueta,CO08,8
Casanare,CO32,9
Cauca,CO09,10
Cesar,CO10,11
Choco,CO11,12
Cordoba,CO12,13
Cundinamarca,CO33,14
Guainia,CO15,16
Guaviare,CO14,17
Huila,CO16,18
La Guajira,CO17,19
Magdalena,CO38,20
Meta,CO19,21
Nariño,CO20,22
Narino,CO20,22
Norte de Santander,CO21,23
Putumayo,CO22,24
Quindio,CO23,25
Risaralda,CO24,26
ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,CO25,27
ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,CO25,27
SAN ANDRES,CO25,27
SAN ANDRES  PROVIDENCIA,CO25,27
SAN ANDRES  PROVIDENCIA Y SANTA CATALIN,CO25,27
SAN ANDRES  PROVIDENCIA Y SANTA CATALINA,CO25,27
Santander,CO26,28
Sucre,CO27,29
Tolima,CO28,30
Valle del Cauca,CO29,31
Vaupes,CO30,32
Vichada,CO31,33
